,Unnamed: 0,R_fighter,B_fighter,R_odds,B_odds,date,location,country,Winner,title_bout,weight_class,gender,B_Implied_probability,R_Implied_probability
0,0,Kevin Lee,Charles Oliveira,-145.0,135.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Lightweight,MALE,0.425531914893617,0.5918367346938775
1,1,Demian Maia,Gilbert Burns,160.0,-170.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Welterweight,MALE,0.6296296296296297,0.3846153846153847
2,2,Renato Moicano,Damir Hadzovic,-345.0,315.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Lightweight,MALE,0.24096385542168675,0.7752808988764045
3,3,Johnny Walker,Nikita Krylov,-137.0,127.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Light Heavyweight,MALE,0.44052863436123346,0.5780590717299579
4,4,Francisco Trinaldo,John Makdessi,-160.0,150.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Lightweight,MALE,0.4,0.6153846153846154
5,5,Jussier Formiga,Brandon Moreno,-150.0,140.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Flyweight,MALE,0.41666666666666674,0.6
6,6,Amanda Ribas,Randa Markos,-345.0,315.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Women's Strawweight,FEMALE,0.24096385542168675,0.7752808988764045
7,7,Elizeu Dos Santos,Aleksei Kunchenko,-122.0,112.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,False,Welterweight,MALE,0.4716981132075472,0.5495495495495496
8,8,Rani Yahya,Enrique Barzola,170.0,-185.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Draw,False,Bantamweight,MALE,0.6491228070175439,0.3703703703703704
9,9,Mayra Bueno Silva,Maryna Moroz,-140.0,130.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Women's Flyweight,FEMALE,0.43478260869565216,0.5833333333333334
10,10,Bruno Silva,David Dvorak,-110.0,100.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Flyweight,MALE,0.5,0.5238095238095238
11,11,Veronica Macedo,Bea Malecki,-155.0,145.0,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Women's Bantamweight,FEMALE,0.40816326530612246,0.6078431372549019
12,12,Israel Adesanya,Yoel Romero,-260.0,240.0,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,True,Middleweight,MALE,0.29411764705882354,0.7222222222222221
13,13,Weili Zhang,Joanna Jedrzejczyk,-185.0,170.0,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,True,Women's Strawweight,FEMALE,0.3703703703703704,0.6491228070175439
14,14,Beneil Dariush,Drakkar Klose,-162.0,152.0,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,0.39682539682539686,0.6183206106870229
15,15,Neil Magny,Li Jingliang,157.0,-167.0,3/7/2020,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,0.6254681647940075,0.3891050583657588
