SEP=,
name,injury,date
Justin Salas,out of UFC on FX 7 [bout] [against] Edson Barboza after suffering an undisclosed injury [in] training,Jan. 2 2013
Erick Silva,out of UFC 156 [bout] [against] Jay Hieron after suffering an undisclosed injury [in] training,Jan. 2 2013
Akira Corassani,out of UFC 156 [bout] [against] Robbie Peralta due to illness,Jan. 5 2013
Buddy Roberts,out of UFC on FOX 6 [bout] [against]  Michael Kuiper after suffering an undisclosed injury [in] training and coming down with the flu,Jan. 8 2013
Roger Hollett,out of UFC on FX 7 [bout] [against] Wagner Prado after tearing his bicep [in] training,Jan. 8 2013
George Roop,out of UFC on FX 7 [bout] [against] Yuri Alcantara after suffering an undisclosed injury [in] training,Jan. 8 2103
Dennis Siver,out of UFC on FUEL TV 7 [bout] [against] Cub Swanson after suffering an undisclosed injury [in] training,Jan. 17 2013
Justin Edwards,out of FUEL TV 7 [bout] [against] Gunnar Nelson after suffering an undisclosed injury [in] training,Jan. 23 2103
Sean Pierson,out of UFC 157 [bout] [against] Rick Story after suffering an undisclosed injury [in] training,Feb. 2 2013
Manny Gamburyan,out of UFC 157 [bout] [against] Chad Mendes after suffering a thumb injury and an elbow injury [in] training,Feb. 8 2013
Rory MacDonald,out of UFC 158 co-main event [against] Carlos Condit after suffering a neck injury [in] training,Feb. 18 2013
Mitch Gagnon,out of UFC 158 [bout] [against] Issei Tamura after suffering an undisclosed injury [in] training,Feb. 19 2013
Johnny Eduardo,out of UFC 158 [bout] [against] Yves Jabouin after suffering a shoulder injury [in] training,Mar. 6 2013
Alistair Overeem,out of UFC 160 co-main event [against] Junior dos Santos after suffering a quad tear [in] training,Mar. 6 2013
Santiago Ponzinibbio,out of The Ultimate Fighter Brazil 2 final match [against] William Macario after breaking his hand [in] his semifinal fight,Mar. 7. 2013
Ryan Bader,out of UFC 160 [bout] [against] Glover Teixeira after suffering an undisclosed injury [in] training,Mar. 12 2013
Clay Guida,out of UFC on FOX 7 [bout] [against] Chad Mendes after suffering an undisclosed injury [in] training,Mar. 15 2013
Jimmy Hettes,out of UFC 159 [bout] [against] Steven Siler after suffering an undisclosed injury [in] training,Mar. 19 2013
Francisco Rivera,out of UFC on FOX 7 [bout] [against] Hugo Viana after suffering an undisclosed injury [in] training,Mar. 22 2013
