red,blue,actual,ai,ai_err,bookies,bookies_err
Mark Hominick,Chan Sung Jung,0,0.385667085647583,0.385667085647583,0.8484848484848484,0.8484848484848484
Daniel Cormier,Volkan Oezdemir,1,0.9795137643814087,0.02048623561859131,0.7752808988764045,0.2247191011235955
Volkan Oezdemir,Aleksandar Rakic,1,0.961983859539032,0.03801614046096802,0.4081632653061225,0.5918367346938775
Volkan Oezdemir,Ilir Latifi,1,0.9991175532341003,0.0008824467658996582,0.6551724137931035,0.34482758620689646
Volkan Oezdemir,Misha Cirkunov,1,0.6332374811172485,0.36676251888275146,0.21052631578947367,0.7894736842105263
Kyung Ho Kang,Brandon Davis,1,0.9995012283325195,0.0004987716674804688,0.6551724137931035,0.34482758620689646
Kyung Ho Kang,Guido Cannetti,1,0.9003216028213501,0.0996783971786499,0.7435897435897436,0.2564102564102564
Kyung Ho Kang,Liu Pingyuan,1,0.5215321183204651,0.4784678816795349,0.7333333333333333,0.2666666666666667
Michinori Tanaka,Kyung Ho Kang,0,0.008885394781827927,0.008885394781827927,0.6,0.6
Ricardo Ramos,Kyung Ho Kang,1,0.40463337302207947,0.5953666269779205,0.7333333333333333,0.2666666666666667
Alexandre Pantoja,Eric Shelton,1,0.9607440829277039,0.03925591707229614,0.5,0.5
Alexandre Pantoja,Matt Schnell,1,0.9947880506515503,0.005211949348449707,0.6441281138790036,0.3558718861209964
Alexandre Pantoja,Neil Seery,1,0.9931166172027588,0.006883382797241211,0.7777777777777779,0.2222222222222221
Alexandre Pantoja,Ulka Sasaki,1,0.977097749710083,0.022902250289916992,0.7619047619047619,0.23809523809523814
Dustin Ortiz,Alexandre Pantoja,1,0.4789395034313202,0.5210604965686798,0.5744680851063829,0.4255319148936171
Raoni Barcelos,Carlos Huachin,1,0.9995176792144775,0.00048232078552246094,0.9166666666666664,0.08333333333333359
Raoni Barcelos,Said Nurmagomedov,1,0.00011182593880221248,0.9998881740611978,0.6015936254980079,0.3984063745019921
Heili Alateng,Danaa Batgerel,1,0.009940867312252522,0.9900591326877475,0.5454545454545454,0.4545454545454546
Heili Alateng,Ryan Benoit,1,1.9387971406104043e-05,0.9999806120285939,0.4424778761061947,0.5575221238938053
Kamaru Usman,Alexander Yakovlev,1,0.016562843695282936,0.9834371563047171,0.7142857142857143,0.2857142857142857
Kamaru Usman,Colby Covington,1,2.5195016860379837e-05,0.9999748049831396,0.6551724137931035,0.34482758620689646
Kamaru Usman,Emil Meek,1,2.0357228436296282e-07,0.9999997964277156,0.8823529411764706,0.11764705882352944
Kamaru Usman,Leon Edwards,1,7.91515049058944e-08,0.9999999208484951,0.7058823529411765,0.2941176470588235
Kamaru Usman,Sean Strickland,1,6.629607014474459e-07,0.9999993370392986,0.7435897435897436,0.2564102564102564
Kamaru Usman,Sergio Moraes,1,2.9813723813276738e-05,0.9999701862761867,0.9090909090909092,0.09090909090909083
Alexander Volkanovski,Jeremy Kennedy,1,0.0657590925693512,0.9342409074306488,0.6666666666666665,0.3333333333333335
Alexander Volkanovski,Mizuto Hirota,1,4.131440078936066e-09,0.9999999958685599,0.8529411764705883,0.1470588235294117
Alexander Volkanovski,Shane Young,1,0.764503002166748,0.23549699783325195,0.8648648648648648,0.1351351351351352
Amanda Nunes,Holly Holm,1,1.719973056424351e-06,0.9999982800269436,0.7826086956521741,0.21739130434782594
Amanda Nunes,Raquel Pennington,1,4.31660129862621e-09,0.9999999956833987,0.875,0.125
Amanda Nunes,Shayna Baszler,1,1.6966898328973912e-05,0.999983033101671,0.8823529411764706,0.11764705882352944
Amanda Nunes_0,Valentina Shevchenko_0,1,1.771335519151762e-05,0.9999822866448085,0.4444444444444444,0.5555555555555556
Amanda Nunes_1,Valentina Shevchenko_1,1,1.771335519151762e-05,0.9999822866448085,0.5121951219512195,0.4878048780487805
Henry Cejudo,Marlon Moraes,1,0.9999997615814209,2.384185791015625e-07,0.4081632653061225,0.5918367346938775
Marlon Moraes,Aljamain Sterling,1,7.265151680257986e-08,0.9999999273484832,0.5918367346938775,0.40816326530612246
Marlon Moraes,Jose Aldo,1,0.01487436331808567,0.9851256366819143,0.6226415094339622,0.37735849056603776
Geoff Neal,Frank Camacho,1,0.7569705247879028,0.24302947521209717,0.6774193548387096,0.32258064516129037
Geoff Neal,Mike Perry,1,0.005116412881761789,0.9948835871182382,0.75,0.25
Geoff Neal,Niko Price,1,8.790667379798833e-06,0.9999912093326202,0.7701149425287356,0.22988505747126442
