,red,blue,actual,ai,ai_err,bookies,bookies_err,delta
1,Ricardo Ramos,Kyung Ho Kang,1,0.40463337302207947,0.5953666269779205,0.7333333333333333,0.2666666666666667,0.3286999603112538
2,Dustin Ortiz,Alexandre Pantoja,1,0.4789395034313202,0.5210604965686798,0.5744680851063829,0.4255319148936171,0.09552858167506273
3,Raoni Barcelos,Said Nurmagomedov,1,0.00011182593880221248,0.9998881740611978,0.6015936254980079,0.3984063745019921,0.6014817995592057
4,Heili Alateng,Ryan Benoit,1,1.9387971406104043e-05,0.9999806120285941,0.4424778761061947,0.5575221238938053,0.4424584881347886
5,Kamaru Usman,Alexander Yakovlev,1,0.016562843695282936,0.9834371563047172,0.7142857142857143,0.2857142857142857,0.6977228705904314
6,Kamaru Usman,Colby Covington,1,2.519501686037984e-05,0.9999748049831396,0.6551724137931035,0.3448275862068965,0.6551472187762432
7,Kamaru Usman,Emil Meek,1,2.0357228436296282e-07,0.9999997964277156,0.8823529411764706,0.11764705882352945,0.8823527376041862
8,Kamaru Usman,Leon Edwards,1,7.91515049058944e-08,0.9999999208484952,0.7058823529411765,0.2941176470588235,0.7058822737896716
9,Kamaru Usman,Sean Strickland,1,6.629607014474461e-07,0.9999993370392986,0.7435897435897436,0.2564102564102564,0.7435890806290422
10,Kamaru Usman,Sergio Moraes,1,2.9813723813276728e-05,0.9999701862761868,0.9090909090909092,0.09090909090909084,0.909061095367096
11,Alexander Volkanovski,Jeremy Kennedy,1,0.0657590925693512,0.9342409074306488,0.6666666666666665,0.3333333333333335,0.6009075740973153
12,Alexander Volkanovski,Mizuto Hirota,1,4.131440078936066e-09,0.99999999586856,0.8529411764705883,0.1470588235294117,0.8529411723391482
14,Amanda Nunes,Holly Holm,1,1.7199730564243512e-06,0.9999982800269436,0.7826086956521741,0.21739130434782594,0.7826069756791176
15,Amanda Nunes,Raquel Pennington,1,4.31660129862621e-09,0.9999999956833988,0.875,0.125,0.8749999956833987
16,Amanda Nunes,Shayna Baszler,1,1.6966898328973915e-05,0.9999830331016708,0.8823529411764706,0.11764705882352945,0.8823359742781416
17,Amanda Nunes_0,Valentina Shevchenko_0,1,1.771335519151762e-05,0.9999822866448084,0.4444444444444444,0.5555555555555556,0.4444267310892529
18,Amanda Nunes_1,Valentina Shevchenko_1,1,1.771335519151762e-05,0.9999822866448084,0.5121951219512195,0.4878048780487805,0.5121774085960279
19,Marlon Moraes,Aljamain Sterling,1,7.265151680257986e-08,0.9999999273484832,0.5918367346938775,0.4081632653061225,0.5918366620423607
20,Marlon Moraes,Jose Aldo,1,0.014874363318085669,0.9851256366819144,0.6226415094339622,0.37735849056603776,0.6077671461158766
21,Geoff Neal,Mike Perry,1,0.005116412881761789,0.9948835871182382,0.75,0.25,0.7448835871182382
22,Geoff Neal,Niko Price,1,8.790667379798833e-06,0.9999912093326202,0.7701149425287356,0.2298850574712644,0.7701061518613558
23,Irene Aldana,Bethe Correia,1,0.3641820847988129,0.6358179152011871,0.8,0.2,0.4358179152011871
24,Irene Aldana,Lucie Pudilova,1,0.40064579248428345,0.5993542075157166,0.5238095238095238,0.4761904761904762,0.1231637313252404
25,Katlyn Chookagian,Irene Aldana,1,0.01891589537262917,0.9810841046273708,0.5744680851063829,0.4255319148936171,0.5555521897337538
26,Leslie Smith,Irene Aldana,1,0.07407189905643463,0.9259281009435654,0.28169014084507044,0.7183098591549295,0.2076182417886358
28,Omari Akhmedov,Mats Nilsson,1,0.0007243206491693852,0.9992756793508306,0.6666666666666665,0.3333333333333335,0.6659423460174971
29,Omari Akhmedov,Zak Cummings,1,0.004959752317517996,0.995040247682482,0.5555555555555556,0.4444444444444444,0.5505958032380376
31,Aspen Ladd,Yana Kunitskaya,1,0.38566708564758295,0.614332914352417,0.6774193548387096,0.3225806451612904,0.2917522691911267
32,Cody Stamann,Alejandro Perez,1,0.002041895873844624,0.9979581041261554,0.6296296296296297,0.3703703703703704,0.627587733755785
33,Sergio Moraes,Tim Means,1,0.19404572248458865,0.8059542775154114,0.3663003663003663,0.6336996336996337,0.17225464381577762
35,Makhmud Muradov,Trevor Smith,1,0.38566708564758295,0.614332914352417,0.8333333333333335,0.16666666666666652,0.4476662476857505
36,Anthony Pettis,Charles Oliveira,1,0.1488770842552185,0.8511229157447815,0.6226415094339622,0.37735849056603776,0.4737644251787437
38,Darren Elkins,Charles Oliveira,0,0.6557422876358032,0.6557422876358032,0.3333333333333333,0.3333333333333333,0.3224089543024699
39,Ricardo Lamas,Charles Oliveira,1,0.03146040439605713,0.9685395956039428,0.5238095238095238,0.4761904761904762,0.4923491194134667
