,red,blue,actual,ai,ai_err,bookies,bookies_err
17,Heili Alateng,Ryan Benoit,1,1.9387971406104043e-05,0.9999806120285941,0.4424778761061947,0.5575221238938053
30,Amanda Nunes_0,Valentina Shevchenko_0,1,1.771335519151762e-05,0.9999822866448084,0.4444444444444444,0.5555555555555556
42,Leslie Smith,Irene Aldana,1,0.07407189905643463,0.9259281009435654,0.28169014084507044,0.7183098591549295
62,Sergio Moraes,Tim Means,1,0.19404572248458865,0.8059542775154114,0.3663003663003663,0.6336996336996337
85,James Krause,Warlley Alves,1,0.4257589280605316,0.5742410719394684,0.2702702702702703,0.7297297297297297
89,Ricardo Ramos,Michinori Tanaka,1,0.010928010568022728,0.9890719894319772,0.4878048780487805,0.5121951219512195
96,Douglas Silva de Andrade,Cody Gibson,1,0.023963768035173416,0.9760362319648266,0.3076923076923077,0.6923076923076923
97,Douglas Silva de Andrade,Marlon Vera,1,0.03922508656978607,0.960774913430214,0.37735849056603776,0.6226415094339622
106,Derrick Lewis,Alexander Volkov,1,2.2834070477983914e-05,0.999977165929522,0.425531914893617,0.5744680851063829
141,Derrick Lewis,Viktor Pesta,1,0.06427279114723206,0.9357272088527679,0.4,0.6
143,Corey Anderson,Johnny Walker,1,0.4523133039474487,0.5476866960525513,0.3921568627450981,0.6078431372549019
166,Diego Ferreira,Beneil Dariush,0,0.6561274528503418,0.6561274528503418,0.7101449275362319,0.7101449275362319
170,Randa Markos,Angela Hill,1,0.0007187896990217267,0.9992812103009784,0.425531914893617,0.5744680851063829
174,Magomed Mustafaev,Rafael Fiziev,1,0.38566708564758295,0.614332914352417,0.4545454545454545,0.5454545454545455
179,Joe Lauzon,Michael Johnson,0,0.7074718475341797,0.7074718475341797,0.7101449275362319,0.7101449275362319
194,Matt Frevola,Luis Pena,1,4.8172093869425225e-08,0.9999999518279059,0.43478260869565216,0.5652173913043479
198,Lyoto Machida,Eryk Anders,1,0.14808541536331174,0.8519145846366882,0.3278688524590164,0.6721311475409836
215,Glover Teixeira,Ovince Saint Preux,1,0.0012441277503967285,0.9987558722496032,0.4545454545454545,0.5454545454545455
219,Ovince Saint Preux,Tyson Pedro,1,3.51330018020235e-05,0.999964866998198,0.4444444444444444,0.5555555555555556
228,Justin Gaethje,James Vick,1,0.0031085370574146514,0.9968914629425852,0.4545454545454545,0.5454545454545455
233,Glover Teixeira,Phil Davis,0,0.5198718309402466,0.5198718309402466,0.6774193548387096,0.6774193548387096
237,Uriah Hall,Antonio Carlos Junior,1,0.4341224133968353,0.5658775866031647,0.30303030303030304,0.696969696969697
239,Uriah Hall,John Howard,0,0.9864907264709472,0.9864907264709472,0.826086956521739,0.826086956521739
240,Uriah Hall,Kelvin Gastelum,0,0.9020775556564332,0.9020775556564332,0.7402597402597402,0.7402597402597402
250,Chas Skelly,Jordan Griffin,1,0.09554743021726607,0.904452569782734,0.4081632653061225,0.5918367346938775
267,Adriano Martins,Islam Makhachev,1,1.4367314804530904e-07,0.999999856326852,0.4761904761904761,0.523809523809524
279,Joanne Calderwood,Andrea Lee,1,9.30245514609851e-05,0.9999069754485392,0.3225806451612903,0.6774193548387097
280,Joanne Calderwood,Ariane Lipski,1,0.3742249310016632,0.6257750689983368,0.31746031746031744,0.6825396825396826
290,Markus Perez,Anthony Hernandez,1,0.38566708564758295,0.614332914352417,0.4651162790697674,0.5348837209302326
324,Diego Sanchez,Jim Miller,1,0.0620814859867096,0.9379185140132904,0.3846153846153847,0.6153846153846153
328,Jim Miller,Thiago Alves,1,0.05533154681324959,0.9446684531867504,0.425531914893617,0.5744680851063829
333,Scott Holtzman,Alan Patrick,1,3.801880211540265e-06,0.9999961981197883,0.2777777777777778,0.7222222222222222
348,Max Holloway,Dustin Poirier,0,0.5514920353889465,0.5514920353889465,0.6875,0.6875
352,Bruno Santos,Krzysztof Jotko,0,0.999984622001648,0.999984622001648,0.701492537313433,0.701492537313433
354,Deiveson Figueiredo,Joseph Morales,1,0.315694272518158,0.684305727481842,0.4761904761904761,0.523809523809524
356,Clay Guida,Erik Koch,1,0.3367728590965271,0.6632271409034729,0.2564102564102564,0.7435897435897436
367,Urijah Faber,Ricky Simon,1,0.0005052390624769032,0.9994947609375232,0.23809523809523805,0.7619047619047621
368,Andre Fili,Myles Jury,1,0.38680991530418396,0.613190084695816,0.43478260869565216,0.5652173913043479
371,Godofredo Pepey,Andre Fili,1,0.009667298756539822,0.9903327012434602,0.273972602739726,0.726027397260274
375,Daniel Cormier,Jon Jones,1,0.3586956262588501,0.6413043737411499,0.273972602739726,0.726027397260274
391,Francis Ngannou,Cain Velasquez,1,3.9401056710630655e-05,0.9999605989432894,0.3636363636363637,0.6363636363636362
401,Demian Maia,Carlos Condit,1,8.358762715943158e-05,0.9999164123728406,0.4651162790697674,0.5348837209302326
407,Jon Fitch,Demian Maia,0,0.973995566368103,0.973995566368103,0.6309963099630996,0.6309963099630996
417,Michael Trizano,Luis Pena,1,0.000276976905297488,0.9997230230947024,0.4081632653061225,0.5918367346938775
430,Tony Ferguson,Michael Johnson,0,0.9981315135955808,0.9981315135955808,0.7590361445783133,0.7590361445783133
445,Eddie Wineland,Johnny Eduardo,0,0.7157548666000366,0.7157548666000366,0.9033816425120772,0.9033816425120772
453,Leonardo Santos,Adriano Martins,1,0.2783803343772888,0.7216196656227112,0.3636363636363637,0.6363636363636362
454,Leonardo Santos,Anthony Rocco Martin,1,2.4987863866954285e-07,0.9999997501213612,0.4166666666666667,0.5833333333333333
455,Leonardo Santos,Kevin Lee,1,0.06300439685583115,0.9369956031441689,0.17391304347826084,0.8260869565217391
464,Zak Cummings,Trevin Giles,1,0.03294873237609863,0.9670512676239014,0.3703703703703704,0.6296296296296295
480,Donald Cerrone,Benson Henderson,1,4.0718867239775136e-05,0.9999592811327602,0.4444444444444444,0.5555555555555556
489,Claudio Silva,Nordine Taleb,1,0.22016865015029907,0.7798313498497009,0.2352941176470588,0.7647058823529412
492,Arjan Bhullar,Juan Adams,1,0.38566708564758295,0.614332914352417,0.4651162790697674,0.5348837209302326
493,Cezar Ferreira,Jack Hermansson,1,0.16018615663051605,0.839813843369484,0.4761904761904761,0.523809523809524
514,Zak Ottow,Dwight Grant,1,0.38566708564758295,0.614332914352417,0.30303030303030304,0.696969696969697
518,Thiago Alves,Max Griffin,1,2.691522240638733e-05,0.9999730847775936,0.3846153846153847,0.6153846153846153
519,Kyle Bochniak,Brandon Davis,1,1.1269449942119536e-06,0.9999988730550058,0.4545454545454545,0.5454545454545455
521,Michelle Waterson,Felice Herrig,1,0.30583062767982483,0.6941693723201752,0.4651162790697674,0.5348837209302326
522,Rose Namajunas,Michelle Waterson,1,0.0275966115295887,0.9724033884704112,0.4761904761904761,0.523809523809524
536,Bryce Mitchell,Bobby Moffett,1,0.38566708564758295,0.614332914352417,0.43478260869565216,0.5652173913043479
538,Leon Edwards,Albert Tumenov,1,0.018020683899521828,0.9819793161004782,0.4,0.6
546,Junior Dos Santos,Cain Velasquez,0,0.7033584713935852,0.7033584713935852,0.6551724137931035,0.6551724137931035
558,Matt Schnell,Naoki Inoue,1,0.0006824645097367463,0.9993175354902633,0.37735849056603776,0.6226415094339622
571,Diego Sanchez,Marcin Held,1,0.0016552209854125974,0.9983447790145874,0.2857142857142857,0.7142857142857143
580,Liz Carmouche,Lauren Murphy,1,0.2780023813247681,0.7219976186752319,0.5,0.5
588,Tyson Griffin,Nik Lentz,0,0.5558431148529053,0.5558431148529053,0.696969696969697,0.696969696969697
594,Ricky Simon,Montel Jackson,1,0.10674776136875153,0.8932522386312485,0.4878048780487805,0.5121951219512195
597,Jose Aldo,Jeremy Stephens,1,0.033190593123435974,0.966809406876564,0.5,0.5
611,Andrei Arlovski,Walt Harris,1,0.29818153381347656,0.7018184661865234,0.35714285714285715,0.6428571428571428
615,Al Iaquinta,Mitch Clarke,0,0.9876620769500732,0.9876620769500732,0.8113207547169812,0.8113207547169812
616,Kevin Lee,Al Iaquinta,0,0.942997395992279,0.942997395992279,0.7701149425287356,0.7701149425287356
623,Joaquim Silva,Andrew Holbrook,1,0.4547341763973236,0.5452658236026764,0.4651162790697674,0.5348837209302326
647,Santiago Ponzinibbio,Sean Strickland,1,2.1860373067283945e-07,0.9999997813962692,0.3508771929824561,0.6491228070175439
660,Darren Elkins,Michael Johnson,1,0.4487836062908173,0.5512163937091827,0.3636363636363637,0.6363636363636362
663,Michael Johnson,Myles Jury,0,0.5670228600502014,0.5670228600502014,0.7183098591549296,0.7183098591549296
672,Luke Barnatt,Sean Strickland,0,0.97675621509552,0.97675621509552,0.6078431372549019,0.6078431372549019
686,Aleksei Oleinik,Junior Albini,1,0.2781095802783966,0.7218904197216034,0.425531914893617,0.5744680851063829
693,Carlos Condit,Tyron Woodley,0,0.9991661310195924,0.9991661310195924,0.6666666666666665,0.6666666666666665
697,Cortney Casey,Cristina Stanciu,1,0.2571478486061096,0.7428521513938904,0.4166666666666667,0.5833333333333333
703,Mizuto Hirota,Rani Yahya,0,0.5402520895004272,0.5402520895004272,0.6,0.6
704,Rani Yahya,Masanori Kanehara,1,0.1457589864730835,0.8542410135269165,0.4651162790697674,0.5348837209302326
710,TJ Dillashaw,John Dodson,0,0.7683331370353699,0.7683331370353699,0.6825396825396826,0.6825396825396826
712,Brian Ortega,Renato Moicano,1,4.001286697530304e-07,0.9999995998713302,0.3846153846153847,0.6153846153846153
726,Alejandro Perez,Iuri Alcantara,1,0.004804273135960102,0.99519572686404,0.3921568627450981,0.6078431372549019
727,Alejandro Perez,Scott Jorgensen,1,0.002897103084251285,0.9971028969157488,0.4651162790697674,0.5348837209302326
728,Mark De La Rosa,Elias Garcia,1,0.00032460634247399867,0.999675393657526,0.4651162790697674,0.5348837209302326
730,Alessio Di Chirico,Julian Marquez,1,0.3341612219810486,0.6658387780189514,0.4651162790697674,0.5348837209302326
