,count
Leonardo Santos,3
Uriah Hall,3
Jacob Volkmann,2
Vitor Miranda,2
Jon Fitch,2
Jared Hamman,2
Yves Edwards,2
Alejandro Perez,2
Diego Sanchez,2
Joanne Calderwood,2
Leandro Issa,2
Glover Teixeira,2
Carlos Condit,2
Luiz Cane,2
Sam Stout,2
Tyson Griffin,2
Paulo Thiago,2
Derrick Lewis,2
Daniel Kelly,2
Douglas Silva de Andrade,2
John Makdessi,2
Gabriel Benitez,2
Dan Henderson,1
Kevin Casey,1
Chris Camozzi,1
Felipe Arantes,1
Francimar Barroso,1
Mickael Lebout,1
Nate Marquardt,1
Abel Trujillo,1
James Te Huna,1
Artem Lobov,1
Rick Story,1
Trevor Smith,1
Rampage Jackson,1
Ramsey Nijem,1
Josh Thomson,1
Anthony Njokuani,1
Justin Scoggins,1
Duane Ludwig,1
Felice Herrig,1
Dongi Yang,1
Shinsho Anzai,1
Thibault Gouti,1
Robbie Lawler,1
Rory MacDonald,1
Tim Boetsch,1
Brock Lesnar,1
Marcus LeVesseur,1
Julie Kedzie,1
Miesha Tate,1
Jamie Varner,1
Heili Alateng,1
Miguel Torres,1
Kyle Noke,1
Mackens Semerzier,1
Cyrille Diabate,1
Yves Jabouin,1
Chris Leben,1
Leonard Garcia,1
Norifumi Yamamoto,1
Kenny Florian,1
Brian Ebersole,1
Claude Patrick,1
James Irvin,1
Krzysztof Soszynski,1
Mike Massenzio,1
Seth Petruzelli,1
Paul Sass,1
Paul Kelly,1
Forrest Griffin,1
Jake Hecht,1
Justin Lawrence,1
Alessio Sakara,1
Jason Young,1
Ildemar Alcantara,1
Kazuki Tokudome,1
Viscardi Andrade,1
Neil Seery,1
John Howard,1
Ron Stallings,1
Erick Silva,1
Roman Salazar,1
KJ Noons,1
Tom Niinimaki,1
Edgar Garcia,1
Dylan Andrews,1
Andy Ogle,1
Takeya Mizugaki,1
Johnny Bedford,1
Amir Sadollah,1
John Hathaway,1
Daniel Pineda,1
John Lineker,1
Seth Baczynski,1
Demian Maia,1
Deiveson Figueiredo,1
Clay Guida,1
Urijah Faber,1
Andre Fili,1
Godofredo Pepey,1
Daniel Cormier,1
Francis Ngannou,1
Michael Trizano,1
Max Holloway,1
Tony Ferguson,1
Eddie Wineland,1
Zak Cummings,1
Donald Cerrone,1
Claudio Silva,1
Arjan Bhullar,1
Cezar Ferreira,1
Bruno Santos,1
Scott Holtzman,1
Thiago Alves,1
Magomed Mustafaev,1
Leslie Smith,1
Sergio Moraes,1
James Krause,1
Ricardo Ramos,1
Corey Anderson,1
Diego Ferreira,1
Randa Markos,1
Joe Lauzon,1
Jim Miller,1
Matt Frevola,1
Lyoto Machida,1
Ovince Saint Preux,1
Justin Gaethje,1
Chas Skelly,1
Adriano Martins,1
Markus Perez,1
Zak Ottow,1
Kyle Bochniak,1
Ilir Latifi,1
Patrick Cote,1
TJ Dillashaw,1
Brian Ortega,1
Mark De La Rosa,1
Alessio Di Chirico,1
Jake Matthews,1
Taylor Lapilus,1
Ben Saunders,1
Neil Magny,1
Mizuto Hirota,1
Lina Lansberg,1
Vitor Belfort,1
Amanda Nunes_0,1
Lorenz Larkin,1
Yushin Okami,1
Kajan Johnson,1
CB Dollaway,1
Rani Yahya,1
Cortney Casey,1
Michelle Waterson,1
Jose Aldo,1
Rose Namajunas,1
Bryce Mitchell,1
Leon Edwards,1
Junior Dos Santos,1
Matt Schnell,1
Liz Carmouche,1
Ricky Simon,1
Andrei Arlovski,1
Aleksei Oleinik,1
Al Iaquinta,1
Kevin Lee,1
Joaquim Silva,1
Santiago Ponzinibbio,1
Darren Elkins,1
Michael Johnson,1
Luke Barnatt,1
Rich Attonito,1
