name,accuracy,correct,fault,status
Chan Sung Jung,0.3333333333333333,2,4,QUESTIONABLE
Volkan Oezdemir,0.875,7,1,GOOD
Junyong Park,1.0,2,0,GOOD
Kyung Ho Kang,0.625,5,3,QUESTIONABLE
Alexandre Pantoja,1.0,8,0,GOOD
Raoni Barcelos,0.3333333333333333,1,2,QUESTIONABLE
Heili Alateng,0.0,0,2,QUESTIONABLE
Kamaru Usman,0.0,0,9,QUESTIONABLE
Alexander Volkanovski,0.0,0,7,QUESTIONABLE
Amanda Nunes,0.9090909090909091,10,1,GOOD
Marlon Moraes,0.5,3,3,QUESTIONABLE
Petr Yan,0.2,1,4,QUESTIONABLE
Geoff Neal,0.25,1,3,QUESTIONABLE
Irene Aldana,0.2857142857142857,2,5,QUESTIONABLE
Omari Akhmedov,0.2727272727272727,3,8,QUESTIONABLE
Brandon Moreno,0.5,3,3,QUESTIONABLE
Aspen Ladd,1.0,3,0,GOOD
Cody Stamann,0.4,2,3,QUESTIONABLE
Rob Font,0.8888888888888888,8,1,GOOD
Tim Means,0.6470588235294118,11,6,QUESTIONABLE
Makhmud Muradov,0.0,0,2,QUESTIONABLE
Jan Blachowicz,0.6363636363636364,7,4,QUESTIONABLE
Charles Oliveira,0.631578947368421,12,7,QUESTIONABLE
James Krause,0.6666666666666666,6,3,QUESTIONABLE
Ricardo Ramos,0.5,2,2,QUESTIONABLE
Francisco Trinaldo,0.7,7,3,QUESTIONABLE
Douglas Silva de Andrade,0.5,3,3,QUESTIONABLE
Zabit Magomedsharipov,0.0,0,6,QUESTIONABLE
Alexander Volkov,0.8333333333333334,5,1,GOOD
Ed Herman,0.8421052631578947,16,3,GOOD
Magomed Ankalaev,1.0,3,0,GOOD
Rustam Khabilov,0.3333333333333333,4,8,QUESTIONABLE
Jorge Masvidal,0.625,10,6,QUESTIONABLE
Darren Till,0.125,1,7,QUESTIONABLE
Stephen Thompson,0.8333333333333334,10,2,GOOD
Derrick Lewis,0.8,12,3,GOOD
Corey Anderson,0.8181818181818182,9,2,GOOD
Edmen Shahbazyan,0.3333333333333333,1,2,QUESTIONABLE
Katlyn Chookagian,1.0,6,0,GOOD
Lyman Good,1.0,4,0,GOOD
Hakeem Dawodu,0.75,3,1,GOOD
Stevie Ray,0.7777777777777778,7,2,GOOD
Beneil Dariush,0.6923076923076923,9,4,QUESTIONABLE
Ciryl Gane,0.5,1,1,QUESTIONABLE
Muslim Salikhov,0.75,3,1,GOOD
Randa Markos,0.6666666666666666,6,3,QUESTIONABLE
Rafael Fiziev,1.0,2,0,GOOD
Dominick Reyes,0.0,0,5,QUESTIONABLE
