First,Last,Nickname,Stance,Win,Loss,Draw,Total Fights,Weight_numeric,Height_cm
Dillon,Smith,,,0,0,0,0,170,182.88
Spencer,Hearns,,,1,0,0,1,185,180.34
Jenna,Castillo,,,1,0,0,1,125,157.48000000000002
Shingo,Kohara,,,1,0,0,1,135,167.64000000000001
Marcelo,Mello,,Southpaw,1,0,0,1,170,170.18
Sione,Latu,,,1,0,0,1,265,182.88
Mark,Robinson,White Rhino,Orthodox,1,0,0,1,265,182.88
Rulon,Gardner,,Orthodox,1,0,0,1,265,190.5
Greg,Hardy,,Orthodox,1,0,0,1,265,195.57999999999998
Cesar,Gracie,,Orthodox,0,1,0,1,181,177.8
Jason,Thacker,,Orthodox,0,1,0,1,185,177.8
Wes,Albritton,,Orthodox,0,1,0,1,188,177.8
Ron,van Clief,The Black Dragon,Orthodox,0,1,0,1,190,177.8
Asbel,Cancio,,,0,1,0,1,265,177.8
Donnie,Chappell,,Southpaw,0,1,0,1,178,180.34
Eldo Xavier,Dias,,,0,1,0,1,180,180.34
Demetrius,Gioulacos,,,0,1,0,1,185,180.34
Ernie,Verdicia,,Orthodox,0,1,0,1,199,180.34
Han Ten,Yun,,,0,1,0,1,265,180.34
Aaron,Trujillo,,,0,1,0,1,125,165.1
Kazuhisa,Watanabe,,,0,1,0,1,139,167.64000000000001
Lowell,Anderson,,Orthodox,0,1,0,1,160,167.64000000000001
Aliev,Makhmud,,Southpaw,0,1,0,1,195,167.64000000000001
Eldari,Kurtanidze,,Orthodox,0,1,0,1,265,167.64000000000001
Andy,Anderson,The Hammer,,0,1,0,1,265,167.64000000000001
Brooke,Mayo,The Bully,,0,1,0,1,125,170.18
Jong Won,Kim,,Orthodox,0,1,0,1,139,170.18
Yokthai,Sithoar,,,0,1,0,1,143,170.18
Scott,Shaffer,,Orthodox,0,1,0,1,145,170.18
Xue Do,Won,,,0,1,0,1,165,170.18
Minoki,Ichihara,,Orthodox,0,1,0,1,178,170.18
Greg,Stott,Ranger,Southpaw,0,1,0,1,265,170.18
Chris,Drumm,,,0,1,0,1,145,172.72
Raou,Raou,,Orthodox,0,1,0,1,195,172.72
Alberta Cerra,Leon,,,0,1,0,1,265,172.72
Tatsuya,Iwasaki,,Orthodox,0,1,0,1,205,175.26
Roland,Payne,,Orthodox,0,1,0,1,205,175.26
Sergey,Ignatov,,Orthodox,0,1,0,1,265,175.26
